Instagram,Tipo de test,Red,Latitud,Longitud,Fecha_Hora_Inicio,Fecha_Hora_Fin,Estado,Causa de falla,Tamaño archivo
Instagram,WIFI,Carga_Feed,-17.3763496,-66.1567771,2025-06-12 09:48:24.217,2025-06-12 09:48:25.648,OK,,
Instagram,WIFI,Carga_Feed,-17.3763343,-66.1567441,2025-06-12 09:55:49.156,2025-06-12 09:55:50.508,OK,,
Instagram,WIFI,Carga_Feed,-17.376348,-66.1567871,2025-06-12 09:56:33.025,2025-06-12 09:56:34.050,OK,,
Instagram,WIFI,Carga_Feed,-17.376348,-66.1567871,2025-06-12 09:58:21.951,2025-06-12 09:58:23.951,OK,,
Instagram,WIFI,Publicacion,-17.376348,-66.1567871,2025-06-12 09:58:40.086,2025-06-12 09:58:56.592,OK,,2.23MB
Instagram,WIFI,Re_Video,-17.376348,-66.1567871,2025-06-12 09:59:07.321,2025-06-12 09:59:23.361,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.376348,-66.1567871,2025-06-12 09:59:32.380,2025-06-12 09:59:35.332,OK,,15C
Instagram,WIFI,Ms_Foto,-17.376348,-66.1567871,2025-06-12 09:59:38.295,2025-06-12 09:59:41.557,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.376348,-66.1567871,2025-06-12 09:59:44.392,2025-06-12 10:00:17.989,OK,,2.17MB
Instagram,WIFI,Carga_Feed,-17.376348,-66.1567871,2025-06-12 10:00:37.773,2025-06-12 10:00:39.234,OK,,
Instagram,WIFI,Publicacion,-17.376348,-66.1567871,2025-06-12 10:00:55.832,2025-06-12 10:01:12.995,OK,,2.16MB
Instagram,WIFI,Re_Video,-17.3763621,-66.1567996,2025-06-12 10:01:22.908,2025-06-12 10:01:38.788,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.3763621,-66.1567996,2025-06-12 10:01:47.415,2025-06-12 10:01:50.287,OK,,15C
Instagram,WIFI,Ms_Foto,-17.3763621,-66.1567996,2025-06-12 10:01:53.330,2025-06-12 10:01:56.000,OK,,25.58MB
Instagram,WIFI,Carga_Feed,-17.3763621,-66.1567996,2025-06-12 10:02:39.046,2025-06-12 10:02:40.177,OK,,
Instagram,WIFI,Carga_Feed,-17.3763621,-66.1567996,2025-06-12 10:03:19.288,2025-06-12 10:03:20.722,OK,,
Instagram,WIFI,Publicacion,-17.3763621,-66.1567996,2025-06-12 10:03:37.396,2025-06-12 10:03:54.562,OK,,1.99MB
Instagram,WIFI,Re_Video,-17.3763621,-66.1567996,2025-06-12 10:04:04.694,2025-06-12 10:04:20.331,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.3763621,-66.1567996,2025-06-12 10:04:29.027,2025-06-12 10:04:31.666,OK,,15C
Instagram,WIFI,Ms_Foto,-17.3763621,-66.1567996,2025-06-12 10:04:35.014,2025-06-12 10:04:38.359,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.3763621,-66.1567996,2025-06-12 10:04:42.249,2025-06-12 10:05:20.910,OK,,19.2MB
Instagram,WIFI,Carga_Feed,-17.3763621,-66.1567996,2025-06-12 10:05:39.543,2025-06-12 10:05:40.747,OK,,
Instagram,WIFI,Carga_Feed,-17.3762821,-66.1567154,2025-06-12 11:57:41.270,2025-06-12 11:57:42.305,OK,,
Instagram,WIFI,Publicacion,-17.37629,-66.1567167,2025-06-12 11:57:59.842,2025-06-12 11:58:04.342,OK,,1.99MB
Instagram,WIFI,Re_Video,-17.37629,-66.1567167,2025-06-12 11:58:17.984,2025-06-12 11:58:34.269,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.37629,-66.1567167,2025-06-12 11:58:45.070,2025-06-12 11:58:48.395,OK,,15C
Instagram,WIFI,Ms_Foto,-17.37629,-66.1567167,2025-06-12 11:58:51.335,2025-06-12 11:58:54.218,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.37629,-66.1567167,2025-06-12 11:58:57.151,2025-06-12 11:59:30.653,OK,,2.17MB
Instagram,WIFI,Carga_Feed,-17.37629,-66.1567167,2025-06-12 11:59:50.297,2025-06-12 11:59:51.304,OK,,
Instagram,WIFI,Publicacion,-17.37629,-66.1567167,2025-06-12 12:00:09.337,2025-06-12 12:00:16.091,OK,,2.23MB
Instagram,WIFI,Re_Video,-17.37629,-66.1567167,2025-06-12 12:00:27.496,2025-06-12 12:00:43.476,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.37629,-66.1567167,2025-06-12 12:00:54.647,2025-06-12 12:00:57.117,OK,,15C
Instagram,WIFI,Ms_Foto,-17.37629,-66.1567167,2025-06-12 12:01:01.044,2025-06-12 12:01:04.070,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.37629,-66.1567167,2025-06-12 12:01:06.919,2025-06-12 12:01:37.638,OK,,19.2MB
Instagram,WIFI,Carga_Feed,-17.37629,-66.1567167,2025-06-12 12:01:57.200,2025-06-12 12:01:58.905,OK,,
Instagram,WIFI,Publicacion,-17.37629,-66.1567167,2025-06-12 12:02:15.342,2025-06-12 12:02:22.971,OK,,2.23MB
Instagram,WIFI,Re_Video,-17.37629,-66.1567167,2025-06-12 12:02:42.946,2025-06-12 12:02:58.774,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.3763335,-66.1567589,2025-06-12 12:03:07.668,2025-06-12 12:03:09.977,OK,,15C
Instagram,WIFI,Ms_Foto,-17.3763335,-66.1567589,2025-06-12 12:03:13.266,2025-06-12 12:03:16.681,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.3763335,-66.1567589,2025-06-12 12:03:20.556,2025-06-12 12:03:53.007,OK,,2.17MB
Instagram,WIFI,Carga_Feed,-17.3763335,-66.1567589,2025-06-12 12:04:11.708,2025-06-12 12:04:13.149,OK,,
Instagram,WIFI,Publicacion,-17.3763335,-66.1567589,2025-06-12 12:04:29.800,2025-06-12 12:04:36.512,OK,,2.23MB
Instagram,WIFI,Re_Video,-17.3763335,-66.1567589,2025-06-12 12:04:47.851,2025-06-12 12:05:03.692,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.3763335,-66.1567589,2025-06-12 12:05:14.980,2025-06-12 12:05:16.966,OK,,15C
Instagram,WIFI,Ms_Foto,-17.3763335,-66.1567589,2025-06-12 12:05:20.964,2025-06-12 12:05:23.595,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.3763335,-66.1567589,2025-06-12 12:05:27.045,2025-06-12 12:05:57.803,OK,,2.17MB
Instagram,WIFI,Carga_Feed,-17.3763335,-66.1567589,2025-06-12 12:06:16.369,2025-06-12 12:06:17.423,OK,,
Instagram,WIFI,Publicacion,-17.3763335,-66.1567589,2025-06-12 12:06:34.599,2025-06-12 12:06:42.456,OK,,2.23MB
Instagram,WIFI,Re_Video,-17.3763335,-66.1567589,2025-06-12 12:06:52.889,2025-06-12 12:07:08.820,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.3763335,-66.1567589,2025-06-12 12:07:19.975,2025-06-12 12:07:22.456,OK,,15C
Instagram,WIFI,Ms_Foto,-17.3763335,-66.1567589,2025-06-12 12:07:26.039,2025-06-12 12:07:29.456,OK,,25.58MB
Instagram,WIFI,Ms_Video,-17.3763335,-66.1567589,2025-06-12 12:07:33.695,2025-06-12 12:08:06.439,OK,,2.17MB
Instagram,SIN_RED,Carga_Feed,-17.3763095,-66.1567193,2025-06-12 12:15:28.057,2025-06-12 12:15:29.011,OK,,
Instagram,SIN_RED,Publicacion,-17.3763095,-66.1567193,2025-06-12 12:15:46.265,2025-06-12 12:16:12.953,Fail,Timeout o no se detectó botón,2.23MB
Instagram,SIN_RED,Re_Video,-17.3763095,-66.1567193,2025-06-12 12:16:22.432,2025-06-12 12:16:32.983,Fail,Reel no válido,0.0MB
Instagram,SIN_RED,Ms_Texto,-17.3763095,-66.1567193,2025-06-12 12:16:41.056,2025-06-12 12:16:50.831,Fail,Timeout,15C
Instagram,SIN_RED,Ms_Foto,-17.3763095,-66.1567193,2025-06-12 12:16:53.695,2025-06-12 12:17:05.479,Fail,Timeout,25.58MB
Instagram,SIN_RED,Ms_Video,-17.3763095,-66.1567193,2025-06-12 12:17:08.363,2025-06-12 12:17:58.296,Fail,Timeout,2.17MB
Instagram,SIN_RED,Carga_Feed,-17.3763095,-66.1567193,2025-06-12 12:18:17.855,2025-06-12 12:18:18.788,OK,,
Instagram,SIN_RED,Publicacion,-17.3763095,-66.1567193,2025-06-12 12:18:36.350,2025-06-12 12:19:03.366,Fail,Timeout o no se detectó botón,2.16MB
Instagram,SIN_RED,Re_Video,-17.3763095,-66.1567193,2025-06-12 12:19:12.516,2025-06-12 12:19:23.154,Fail,Reel no válido,0.0MB
Instagram,SIN_RED,Ms_Texto,-17.3763095,-66.1567193,2025-06-12 12:19:31.437,2025-06-12 12:19:40.964,Fail,Timeout,15C
Instagram,SIN_RED,Ms_Foto,-17.3763095,-66.1567193,2025-06-12 12:19:43.985,2025-06-12 12:19:55.609,Fail,Timeout,25.58MB
Instagram,SIN_RED,Ms_Video,-17.3763095,-66.1567193,2025-06-12 12:19:58.495,2025-06-12 12:20:47.746,Fail,Timeout,2.17MB
Instagram,SIN_RED,Carga_Feed,-17.3763246,-66.1567313,2025-06-12 12:21:07.153,2025-06-12 12:21:08.030,OK,,
Instagram,SIN_RED,Publicacion,-17.3763246,-66.1567313,2025-06-12 12:21:25.283,2025-06-12 12:21:51.625,Fail,Timeout o no se detectó botón,2.16MB
Instagram,SIN_RED,Re_Video,-17.3763246,-66.1567313,2025-06-12 12:22:01.674,2025-06-12 12:22:07.017,Fail,Reel no válido,0.0MB
Instagram,SIN_RED,Ms_Texto,-17.3763246,-66.1567313,2025-06-12 12:22:15.467,2025-06-12 12:22:25.594,Fail,Timeout,15C
Instagram,SIN_RED,Ms_Foto,-17.3763246,-66.1567313,2025-06-12 12:22:28.503,2025-06-12 12:22:39.388,Fail,Timeout,25.58MB
Instagram,SIN_RED,Ms_Video,-17.3763246,-66.1567313,2025-06-12 12:22:42.229,2025-06-12 12:23:31.879,Fail,Timeout,19.2MB
