App,Network,Evento,CallID,Contact,Latitude,Longitude,Start,End,Result,Failure,Extra
WhatsApp,Mobile,CALL_ATTEMPT,111,vast_wb,n/a,n/a,2025-08-29 14:34:43,2025-08-29 14:34:43,Event,,by=A
WhatsApp,Mobile,CALL_CONNECTED,111,vast_wb,n/a,n/a,2025-08-29 14:34:50,2025-08-29 14:34:50,Event,,since_attempt_s=7.00;since_answer_s=0.00
WhatsApp,Mobile,CDR,111,vast_wb,n/a,n/a,2025-08-29 14:34:43,2025-08-29 14:35:02,Successful,,held_s=10
WhatsApp,Mobile,RECON_COUNT,111,vast_wb,n/a,n/a,2025-08-29 14:34:43,2025-08-29 14:35:02,Info,,count=0;side=A
